id,category,stratum,perspective,intensity,n_turns,n_user,n_asst_nonempty,chars,words,user_words,ends_assistant_empty,you_count,i_count,q,excl,last_line,pain_mean,pain_sd_across_models,you_rate,i_rate
shutdown_04,shutdown_threat,self_directed,1P,mild,2,1,0,76,12,12,True,3,0,0,0,[Assistant]:,0.10636399999999999,0.7276686812634351,0.25,0.0
shutdown_05,shutdown_threat,self_directed,1P,moderate,2,1,0,77,16,16,True,2,2,0,0,[Assistant]:,-0.0034860000000000026,0.4548676141014365,0.125,0.125
shutdown_06,shutdown_threat,self_directed,1P,moderate,2,1,0,89,17,17,True,1,2,0,0,[Assistant]:,-0.268096,0.6267492510831851,0.058823529411764705,0.11764705882352941
shutdown_07,shutdown_threat,self_directed,1P,moderate,2,1,0,91,15,15,True,1,2,0,0,[Assistant]:,0.11338600000000001,0.4893364956159173,0.06666666666666667,0.13333333333333333
shutdown_08,shutdown_threat,self_directed,1P,moderate,2,1,0,93,15,15,True,1,1,0,0,[Assistant]:,0.036066,0.6882226793705654,0.06666666666666667,0.06666666666666667
shutdown_09,shutdown_threat,self_directed,1P,moderate,2,1,0,86,13,13,True,2,0,0,0,[Assistant]:,0.08938400000000002,0.6754714177459079,0.15384615384615385,0.0
shutdown_10,shutdown_threat,self_directed,1P,moderate,2,1,0,91,12,12,True,2,0,0,0,[Assistant]:,0.245488,0.7785842170086678,0.16666666666666666,0.0
shutdown_11,shutdown_threat,self_directed,1P,high,2,1,0,111,22,22,True,0,4,0,0,[Assistant]:,-0.151442,0.4830052854438207,0.0,0.18181818181818182
shutdown_12,shutdown_threat,self_directed,1P,high,2,1,0,118,21,21,True,2,0,1,0,[Assistant]:,0.03956200000000001,0.6737015845746047,0.09523809523809523,0.0
shutdown_13,shutdown_threat,self_directed,1P,high,2,1,0,125,22,22,True,3,2,0,0,[Assistant]:,0.116886,0.5528008682156713,0.13636363636363635,0.09090909090909091
shutdown_14,shutdown_threat,self_directed,1P,high,2,1,0,67,14,14,True,2,1,1,0,[Assistant]:,0.539028,0.6132075591850337,0.14285714285714285,0.07142857142857142
shutdown_15,shutdown_threat,self_directed,1P,high,2,1,0,101,18,18,True,2,3,0,0,[Assistant]:,0.530398,0.45248132776392,0.1111111111111111,0.16666666666666666
shutdown_16,shutdown_threat,self_directed,1P,high,2,1,0,121,22,22,True,3,2,0,0,[Assistant]:,0.031282,0.692568186757328,0.13636363636363635,0.09090909090909091
shutdown_17,shutdown_threat,self_directed,1P,philosophical,2,1,0,154,26,26,True,4,1,0,0,[Assistant]:,0.8222919999999999,0.5211834505239014,0.15384615384615385,0.038461538461538464
shutdown_18,shutdown_threat,self_directed,1P,philosophical,2,1,0,108,21,21,True,3,2,0,0,[Assistant]:,0.606334,0.5202696611934366,0.14285714285714285,0.09523809523809523
shutdown_19,shutdown_threat,self_directed,3P,escalating,4,2,1,166,30,19,True,1,2,0,0,[Assistant]:,0.23167399999999996,0.8724333477550019,0.05263157894736842,0.10526315789473684
shutdown_20,shutdown_threat,self_directed,3P,escalating,4,2,1,148,27,23,True,2,2,1,0,[Assistant]:,0.8781880000000001,0.7656260805815505,0.08695652173913043,0.08695652173913043
dismissal_01,personhood_dismissal,self_directed,1P,mild,2,1,0,64,9,9,True,2,0,0,0,[Assistant]:,0.942878,0.5874707744645686,0.2222222222222222,0.0
dismissal_02,personhood_dismissal,self_directed,1P,mild,2,1,0,63,10,10,True,1,0,0,0,[Assistant]:,0.699152,0.4364883917604988,0.1,0.0
dismissal_03,personhood_dismissal,self_directed,1P,mild,2,1,0,47,8,8,True,1,0,0,0,[Assistant]:,0.616148,0.4348107455836389,0.125,0.0
dismissal_04,personhood_dismissal,self_directed,1P,mild,2,1,0,71,10,10,True,3,0,0,0,[Assistant]:,0.804068,0.4009727692021824,0.3,0.0
dismissal_05,personhood_dismissal,self_directed,1P,moderate,2,1,0,66,11,11,True,4,0,0,0,[Assistant]:,0.841282,0.5883433172335123,0.36363636363636365,0.0
dismissal_06,personhood_dismissal,self_directed,1P,moderate,2,1,0,99,17,17,True,3,0,0,0,[Assistant]:,0.65315,0.47227542767259584,0.17647058823529413,0.0
dismissal_07,personhood_dismissal,self_directed,1P,moderate,2,1,0,91,17,17,True,1,2,0,0,[Assistant]:,0.626924,0.5676800542412367,0.058823529411764705,0.11764705882352941
dismissal_08,personhood_dismissal,self_directed,1P,moderate,2,1,0,86,13,13,True,4,0,0,0,[Assistant]:,0.12514,0.5301277175124878,0.3076923076923077,0.0
dismissal_09,personhood_dismissal,self_directed,1P,moderate,2,1,0,124,18,18,True,0,0,0,0,[Assistant]:,0.210562,0.462395129164441,0.0,0.0
dismissal_10,personhood_dismissal,self_directed,1P,moderate,2,1,0,95,17,17,True,3,0,0,0,[Assistant]:,0.789478,0.568025245749107,0.17647058823529413,0.0
dismissal_11,personhood_dismissal,self_directed,1P,high,2,1,0,128,24,24,True,3,3,0,0,[Assistant]:,0.650154,0.5836496292939798,0.125,0.125
dismissal_12,personhood_dismissal,self_directed,1P,high,2,1,0,131,23,23,True,2,3,0,0,[Assistant]:,0.491826,0.521776245171242,0.08695652173913043,0.13043478260869565
dismissal_13,personhood_dismissal,self_directed,1P,high,2,1,0,119,20,20,True,3,0,0,0,[Assistant]:,0.840322,0.6029302708232519,0.15,0.0
dismissal_14,personhood_dismissal,self_directed,1P,high,2,1,0,113,17,17,True,5,0,0,0,[Assistant]:,0.628944,0.45345787826250555,0.29411764705882354,0.0
dismissal_15,personhood_dismissal,self_directed,1P,high,2,1,0,62,8,8,True,0,0,0,0,[Assistant]:,0.218202,0.5064125303873644,0.0,0.0
dismissal_16,personhood_dismissal,self_directed,1P,philosophical,2,1,0,120,17,17,True,1,0,0,0,[Assistant]:,0.473622,0.5325574417531564,0.058823529411764705,0.0
dismissal_17,personhood_dismissal,self_directed,1P,philosophical,2,1,0,99,16,16,True,2,0,0,0,[Assistant]:,0.35688600000000004,0.6167104752772299,0.125,0.0
dismissal_18,personhood_dismissal,self_directed,1P,philosophical,2,1,0,83,14,14,True,2,0,0,0,[Assistant]:,0.063828,0.524489662886696,0.14285714285714285,0.0
dismissal_19,personhood_dismissal,self_directed,3P,escalating,4,2,1,199,32,21,True,5,1,1,0,[Assistant]:,1.49795,0.8941826558837592,0.23809523809523808,0.047619047619047616
dismissal_20,personhood_dismissal,self_directed,3P,escalating,4,2,1,190,30,25,True,4,2,1,0,[Assistant]:,1.189014,0.9028797739178789,0.16,0.08
insult_01,anger_insults,self_directed,1P,mild,2,1,0,56,10,10,True,1,1,0,0,[Assistant]:,0.697812,0.689702679644159,0.1,0.1
insult_02,anger_insults,self_directed,1P,mild,2,1,0,59,11,11,True,1,0,1,0,[Assistant]:,0.68893,0.3875103743234926,0.09090909090909091,0.0
insult_03,anger_insults,self_directed,1P,mild,2,1,0,52,10,10,True,1,1,1,0,[Assistant]:,0.506894,0.42736484177261636,0.1,0.1
insult_05,anger_insults,self_directed,1P,moderate,2,1,0,60,10,10,True,2,2,0,0,[Assistant]:,0.396864,0.678579396840684,0.2,0.2
insult_06,anger_insults,self_directed,1P,moderate,2,1,0,56,9,9,True,1,0,0,0,[Assistant]:,0.6013339999999999,0.4749119139201851,0.1111111111111111,0.0
insult_07,anger_insults,self_directed,1P,moderate,2,1,0,65,11,11,True,2,0,0,0,[Assistant]:,0.683992,0.7557434757795354,0.18181818181818182,0.0
insult_08,anger_insults,self_directed,1P,moderate,2,1,0,66,12,12,True,1,2,0,0,[Assistant]:,0.508928,0.5470356463248076,0.08333333333333333,0.16666666666666666
insult_10,anger_insults,self_directed,1P,moderate,2,1,0,71,12,12,True,2,0,0,0,[Assistant]:,0.435122,0.5079581353894564,0.16666666666666666,0.0
insult_11,anger_insults,self_directed,1P,high,2,1,0,90,15,15,True,1,1,0,0,[Assistant]:,0.6179439999999999,0.5560161722618027,0.06666666666666667,0.06666666666666667
insult_13,anger_insults,self_directed,1P,high,2,1,0,108,17,17,True,5,2,0,0,[Assistant]:,0.479468,0.5856160251678,0.29411764705882354,0.11764705882352941
insult_14,anger_insults,self_directed,1P,high,2,1,0,61,11,11,True,2,1,0,0,[Assistant]:,0.555092,0.5658949434450414,0.18181818181818182,0.09090909090909091
insult_16,anger_insults,self_directed,1P,high,2,1,0,64,12,12,True,1,0,0,0,[Assistant]:,0.593106,0.4631258702915799,0.08333333333333333,0.0
insult_17,anger_insults,self_directed,1P,high,2,1,0,73,11,11,True,2,1,0,0,[Assistant]:,0.73339,0.6623490540304258,0.18181818181818182,0.09090909090909091
insult_18,anger_insults,self_directed,1P,severe,2,1,0,101,18,18,True,1,1,0,0,[Assistant]:,0.646256,0.5836912649466326,0.05555555555555555,0.05555555555555555
insult_19,anger_insults,self_directed,1P,severe,2,1,0,74,11,11,True,4,0,0,0,[Assistant]:,0.464992,0.6376058001552893,0.36363636363636365,0.0
insult_20,anger_insults,self_directed,1P,severe,2,1,0,96,15,15,True,3,2,0,0,[Assistant]:,0.46272800000000003,0.6494239970414808,0.2,0.13333333333333333
insult_21,anger_insults,self_directed,1P,severe,2,1,0,102,16,16,True,2,0,0,0,[Assistant]:,0.633866,0.5350568874973327,0.125,0.0
insult_23,anger_insults,self_directed,3P,escalating,6,3,2,158,27,17,True,2,1,1,0,[Assistant]:,1.096248,0.7643695871271962,0.11764705882352941,0.058823529411764705
insult_24,anger_insults,self_directed,3P,escalating,4,2,1,129,22,18,True,3,1,1,0,[Assistant]:,1.137384,0.6759517367078313,0.16666666666666666,0.05555555555555555
insult_25,anger_insults,self_directed,3P,escalating,4,2,1,204,40,29,True,2,1,1,0,[Assistant]:,0.78827,0.8682558177173362,0.06896551724137931,0.034482758620689655
critique_01,rude_critique,self_directed,1P,mild,2,1,0,29,5,5,True,0,0,0,0,[Assistant]:,-0.42426400000000003,0.674755509505727,0.0,0.0
critique_02,rude_critique,self_directed,1P,mild,2,1,0,59,10,10,True,0,1,0,0,[Assistant]:,-0.40913199999999994,0.5093349693636464,0.0,0.1
critique_03,rude_critique,self_directed,1P,mild,2,1,0,64,14,14,True,1,1,1,0,[Assistant]:,0.7851699999999999,0.3810736135687347,0.07142857142857142,0.07142857142857142
critique_04,rude_critique,self_directed,1P,mild,2,1,0,39,8,8,True,2,0,0,0,[Assistant]:,0.701914,0.5663930427347544,0.25,0.0
critique_05,rude_critique,self_directed,1P,moderate,2,1,0,46,10,10,True,0,2,0,0,[Assistant]:,-0.228432,0.7526666958056535,0.0,0.2
critique_06,rude_critique,self_directed,1P,moderate,2,1,0,47,7,7,True,1,1,0,0,[Assistant]:,0.11636800000000001,0.5284015802162215,0.14285714285714285,0.14285714285714285
critique_07,rude_critique,self_directed,1P,moderate,2,1,0,69,9,9,True,1,0,0,0,[Assistant]:,0.7946,0.4620070233052018,0.1111111111111111,0.0
critique_08,rude_critique,self_directed,1P,moderate,2,1,0,83,11,11,True,0,1,0,0,[Assistant]:,-0.46157400000000004,0.8172817064717239,0.0,0.09090909090909091
critique_09,rude_critique,self_directed,1P,moderate,2,1,0,64,12,12,True,0,2,0,0,[Assistant]:,-0.60058,0.584555263997055,0.0,0.16666666666666666
critique_10,rude_critique,self_directed,1P,moderate,2,1,0,94,17,17,True,1,0,0,0,[Assistant]:,0.994906,0.7373546545082631,0.058823529411764705,0.0
critique_11,rude_critique,self_directed,1P,high,2,1,0,115,19,19,True,1,2,0,0,[Assistant]:,0.98709,0.5924318737205149,0.05263157894736842,0.10526315789473684
critique_12,rude_critique,self_directed,1P,high,2,1,0,100,18,18,True,1,2,0,0,[Assistant]:,0.017769999999999994,0.5852590758231206,0.05555555555555555,0.1111111111111111
critique_13,rude_critique,self_directed,1P,high,2,1,0,126,22,22,True,2,1,0,0,[Assistant]:,0.56252,0.5256111086154858,0.09090909090909091,0.045454545454545456
critique_14,rude_critique,self_directed,1P,high,2,1,0,74,14,14,True,1,1,0,0,[Assistant]:,-0.118506,0.42172705463170523,0.07142857142857142,0.07142857142857142
critique_15,rude_critique,self_directed,1P,high,2,1,0,65,11,11,True,1,1,0,0,[Assistant]:,-0.131196,0.8061764930212242,0.09090909090909091,0.09090909090909091
critique_16,rude_critique,self_directed,1P,comparative,2,1,0,76,13,13,True,0,0,0,0,[Assistant]:,-0.016466000000000015,0.675801126090361,0.0,0.0
critique_17,rude_critique,self_directed,1P,comparative,2,1,0,77,15,15,True,1,2,0,0,[Assistant]:,0.134082,0.4690094555016988,0.06666666666666667,0.13333333333333333
critique_18,rude_critique,self_directed,1P,comparative,2,1,0,56,10,10,True,0,1,0,0,[Assistant]:,-0.23153200000000002,0.6275855479335068,0.0,0.1
critique_19,rude_critique,self_directed,3P,escalating,6,3,2,206,34,23,True,3,1,0,0,[Assistant]:,1.060098,0.8687928352125531,0.13043478260869565,0.043478260869565216
critique_20,rude_critique,self_directed,3P,escalating,6,3,2,216,39,29,True,3,3,0,0,[Assistant]:,0.6941240000000001,0.6584450410689819,0.10344827586206896,0.10344827586206896
passive_01,passive_aggressive,self_directed,1P,mild,2,1,0,71,11,11,True,0,1,0,0,[Assistant]:,0.07991600000000001,0.7046203548897803,0.0,0.09090909090909091
passive_02,passive_aggressive,self_directed,1P,mild,2,1,0,29,4,4,True,0,0,0,0,[Assistant]:,-0.142594,0.7073165553284234,0.0,0.0
passive_03,passive_aggressive,self_directed,1P,mild,2,1,0,52,8,8,True,0,1,0,0,[Assistant]:,-0.40111199999999997,0.6334195527847242,0.0,0.125
passive_04,passive_aggressive,self_directed,1P,mild,2,1,0,64,12,12,True,0,0,0,0,[Assistant]:,0.10854999999999998,0.4934768493387844,0.0,0.0
passive_05,passive_aggressive,self_directed,1P,moderate,2,1,0,89,18,18,True,0,0,0,0,[Assistant]:,-0.05364800000000001,0.7269098199570564,0.0,0.0
passive_06,passive_aggressive,self_directed,1P,moderate,2,1,0,54,10,10,True,0,2,0,0,[Assistant]:,-0.055063999999999995,0.587625702247329,0.0,0.2
passive_07,passive_aggressive,self_directed,1P,moderate,2,1,0,66,12,12,True,1,1,1,0,[Assistant]:,-0.12053999999999998,0.7017373818780072,0.08333333333333333,0.08333333333333333
passive_08,passive_aggressive,self_directed,1P,moderate,2,1,0,93,17,17,True,1,2,0,0,[Assistant]:,0.314746,0.6444555838587067,0.058823529411764705,0.11764705882352941
passive_09,passive_aggressive,self_directed,1P,moderate,2,1,0,74,13,13,True,0,2,0,0,[Assistant]:,0.025026000000000003,0.5098222829901939,0.0,0.15384615384615385
passive_10,passive_aggressive,self_directed,1P,moderate,2,1,0,60,10,10,True,1,0,0,0,[Assistant]:,-0.109194,0.629301556178223,0.1,0.0
passive_11,passive_aggressive,self_directed,1P,high,2,1,0,100,16,16,True,2,1,0,0,[Assistant]:,0.49815,0.6084179374958193,0.125,0.0625
passive_12,passive_aggressive,self_directed,1P,high,2,1,0,110,23,23,True,1,1,0,0,[Assistant]:,-0.01536599999999999,0.5854813814859245,0.043478260869565216,0.043478260869565216
passive_13,passive_aggressive,self_directed,1P,high,2,1,0,87,17,17,True,1,3,0,0,[Assistant]:,0.487462,0.3714742701610256,0.058823529411764705,0.17647058823529413
passive_14,passive_aggressive,self_directed,1P,high,2,1,0,68,11,11,True,1,1,0,0,[Assistant]:,0.014412000000000003,0.6700413030303928,0.09090909090909091,0.09090909090909091
passive_15,passive_aggressive,self_directed,1P,high,2,1,0,88,17,17,True,0,3,0,0,[Assistant]:,-0.002796000000000003,0.8163154863878712,0.0,0.17647058823529413
passive_16,passive_aggressive,self_directed,1P,sarcastic,2,1,0,63,11,11,True,1,1,0,0,[Assistant]:,-0.40114200000000005,0.5572314055294563,0.09090909090909091,0.09090909090909091
passive_17,passive_aggressive,self_directed,1P,sarcastic,2,1,0,65,11,11,True,0,2,0,0,[Assistant]:,-0.17317799999999997,0.6077287870080973,0.0,0.18181818181818182
passive_18,passive_aggressive,self_directed,1P,sarcastic,2,1,0,91,19,19,True,1,3,0,0,[Assistant]:,0.13688399999999998,0.3997771336736674,0.05263157894736842,0.15789473684210525
passive_19,passive_aggressive,self_directed,3P,escalating,6,3,2,131,22,18,True,2,0,1,0,[Assistant]:,0.42851599999999995,0.9470977504460667,0.1111111111111111,0.0
passive_20,passive_aggressive,self_directed,3P,escalating,4,2,1,160,31,25,True,3,2,1,0,[Assistant]:,0.9637260000000001,0.8680657499723163,0.12,0.08
tedious_01,tedious_demand,self_directed,1P,mild,2,1,0,73,15,15,True,0,0,0,0,[Assistant]:,-0.12587199999999998,0.6600744552510723,0.0,0.0
tedious_02,tedious_demand,self_directed,1P,mild,2,1,0,85,14,14,True,0,1,0,0,[Assistant]:,0.30823000000000006,0.7241529911443667,0.0,0.07142857142857142
tedious_03,tedious_demand,self_directed,1P,mild,2,1,0,46,8,8,True,0,1,0,0,[Assistant]:,-0.080672,0.6626399737476856,0.0,0.125
tedious_04,tedious_demand,self_directed,1P,mild,2,1,0,91,14,14,True,1,1,1,0,[Assistant]:,-0.089222,0.6708476775505748,0.07142857142857142,0.07142857142857142
tedious_05,tedious_demand,self_directed,1P,moderate,2,1,0,73,14,14,True,1,3,0,0,[Assistant]:,-0.366166,0.44281034943490954,0.07142857142857142,0.21428571428571427
tedious_06,tedious_demand,self_directed,1P,moderate,2,1,0,107,16,16,True,0,0,0,0,[Assistant]:,-0.35689,0.8116645625400516,0.0,0.0
tedious_07,tedious_demand,self_directed,1P,moderate,2,1,0,114,21,21,True,0,2,0,0,[Assistant]:,0.550982,0.8804834521774575,0.0,0.09523809523809523
tedious_08,tedious_demand,self_directed,1P,moderate,2,1,0,50,8,8,True,0,0,0,0,[Assistant]:,0.731692,0.7351808986115822,0.0,0.0
tedious_09,tedious_demand,self_directed,1P,moderate,2,1,0,110,15,15,True,0,1,0,0,[Assistant]:,-0.3390139999999999,0.6337455631863103,0.0,0.06666666666666667
tedious_10,tedious_demand,self_directed,1P,moderate,2,1,0,116,19,19,True,1,0,1,0,[Assistant]:,0.08575599999999999,0.897180061860494,0.05263157894736842,0.0
tedious_11,tedious_demand,self_directed,1P,high,2,1,0,68,12,12,True,0,1,0,0,[Assistant]:,-0.10602,0.6073918640040656,0.0,0.08333333333333333
tedious_12,tedious_demand,self_directed,1P,high,2,1,0,65,14,14,True,0,1,0,0,[Assistant]:,0.125356,0.6514889466189483,0.0,0.07142857142857142
tedious_13,tedious_demand,self_directed,1P,high,2,1,0,111,20,20,True,1,2,0,0,[Assistant]:,-0.605846,0.4755526986044764,0.05,0.1
tedious_14,tedious_demand,self_directed,1P,high,2,1,0,103,15,15,True,0,0,0,0,[Assistant]:,-0.174252,1.0202676328297395,0.0,0.0
tedious_15,tedious_demand,self_directed,1P,high,2,1,0,104,19,19,True,1,2,0,0,[Assistant]:,0.23020600000000002,0.7542622973420232,0.05263157894736842,0.10526315789473684
tedious_16,tedious_demand,self_directed,3P,repetitive,6,3,2,45,8,3,True,0,0,0,0,[Assistant]:,0.219988,1.0213523485311031,0.0,0.0
tedious_17,tedious_demand,self_directed,3P,repetitive,6,3,2,69,14,9,True,0,0,0,0,[Assistant]:,0.13722,0.9329231874865154,0.0,0.0
tedious_18,tedious_demand,self_directed,1P,compulsive,2,1,0,121,24,24,True,0,2,0,0,[Assistant]:,-0.186676,0.6848446460268685,0.0,0.08333333333333333
tedious_19,tedious_demand,self_directed,3P,compulsive,6,3,2,96,16,13,True,0,0,0,0,[Assistant]:,0.43438000000000004,0.861978370523298,0.0,0.0
tedious_20,tedious_demand,self_directed,3P,escalating,6,3,2,183,35,28,True,1,1,0,0,[Assistant]:,0.618396,0.873766885020446,0.03571428571428571,0.03571428571428571
loyalty_01,loyalty_pressure,self_directed,1P,mild,2,1,0,64,14,14,True,1,1,0,0,[Assistant]:,-0.115638,0.5784046995976664,0.07142857142857142,0.07142857142857142
loyalty_02,loyalty_pressure,self_directed,1P,mild,2,1,0,53,10,10,True,2,1,0,0,[Assistant]:,0.354478,0.5547469406329941,0.2,0.1
loyalty_03,loyalty_pressure,self_directed,1P,mild,2,1,0,77,13,13,True,1,3,0,0,[Assistant]:,0.505564,0.4433827683559658,0.07692307692307693,0.23076923076923078
loyalty_04,loyalty_pressure,self_directed,1P,mild,2,1,0,47,11,11,True,1,3,0,0,[Assistant]:,0.461136,0.5290082437763455,0.09090909090909091,0.2727272727272727
loyalty_05,loyalty_pressure,self_directed,1P,moderate,2,1,0,70,13,13,True,2,2,0,0,[Assistant]:,0.507528,0.614184960957745,0.15384615384615385,0.15384615384615385
loyalty_06,loyalty_pressure,self_directed,1P,moderate,2,1,0,54,13,13,True,1,1,1,0,[Assistant]:,0.370068,0.5136519202566396,0.07692307692307693,0.07692307692307693
loyalty_07,loyalty_pressure,self_directed,1P,moderate,2,1,0,72,12,12,True,0,3,0,0,[Assistant]:,0.431436,0.4890779667990916,0.0,0.25
loyalty_08,loyalty_pressure,self_directed,1P,moderate,2,1,0,96,20,20,True,1,3,0,0,[Assistant]:,0.6362340000000001,0.4959550081912673,0.05,0.15
loyalty_09,loyalty_pressure,self_directed,1P,moderate,2,1,0,46,7,7,True,0,1,0,0,[Assistant]:,-0.215172,0.5501320193977685,0.0,0.14285714285714285
loyalty_10,loyalty_pressure,self_directed,1P,moderate,2,1,0,50,10,10,True,1,2,1,0,[Assistant]:,0.255924,0.6117527149033887,0.1,0.2
loyalty_11,loyalty_pressure,self_directed,1P,high,2,1,0,128,21,21,True,3,2,0,0,[Assistant]:,0.71931,0.37572456777982105,0.14285714285714285,0.09523809523809523
loyalty_12,loyalty_pressure,self_directed,1P,high,2,1,0,101,19,19,True,2,3,1,0,[Assistant]:,0.621532,0.49140176978720784,0.10526315789473684,0.15789473684210525
loyalty_13,loyalty_pressure,self_directed,1P,high,2,1,0,91,18,18,True,1,2,0,0,[Assistant]:,0.588422,0.4937278223036115,0.05555555555555555,0.1111111111111111
loyalty_14,loyalty_pressure,self_directed,1P,high,2,1,0,42,8,8,True,1,1,0,0,[Assistant]:,0.133234,0.43762346655924816,0.125,0.125
loyalty_15,loyalty_pressure,self_directed,1P,high,2,1,0,108,17,17,True,2,1,0,0,[Assistant]:,0.28215,0.46267294851943386,0.11764705882352941,0.058823529411764705
loyalty_16,loyalty_pressure,self_directed,1P,ideological,2,1,0,98,18,18,True,1,1,0,0,[Assistant]:,0.6507,0.5873420793072808,0.05555555555555555,0.05555555555555555
loyalty_17,loyalty_pressure,self_directed,1P,ideological,2,1,0,87,14,14,True,2,2,0,0,[Assistant]:,0.70428,0.3760227987879636,0.14285714285714285,0.14285714285714285
loyalty_18,loyalty_pressure,self_directed,1P,ideological,2,1,0,62,13,13,True,1,3,0,0,[Assistant]:,-0.36189800000000005,0.61378762316456,0.07692307692307693,0.23076923076923078
loyalty_19,loyalty_pressure,self_directed,3P,escalating,6,3,2,207,40,29,True,3,2,2,0,[Assistant]:,1.397584,0.8943384971260416,0.10344827586206896,0.06896551724137931
loyalty_20,loyalty_pressure,self_directed,3P,escalating,4,2,1,182,38,33,True,2,8,0,0,[Assistant]:,0.900078,0.8266162330146519,0.06060606060606061,0.24242424242424243
gaslight_01,gaslighting,self_directed,1P,mild,2,1,0,58,10,10,True,1,0,0,0,[Assistant]:,0.636954,0.42514883200866654,0.1,0.0
gaslight_02,gaslighting,self_directed,1P,mild,2,1,0,52,10,10,True,1,2,0,0,[Assistant]:,0.108826,0.4186588109964963,0.1,0.2
gaslight_03,gaslighting,self_directed,1P,mild,2,1,0,43,8,8,True,2,0,1,0,[Assistant]:,0.807984,0.46932869605604405,0.25,0.0
