id,paper_line,claim_text,paper_value,source_file,recomputed_value,status,note
C011,215,we first pilot the method across all 26 layers of Gemma 2 2B,26 layers,results/3.2_pain_vectors/per_model/Gemma_2_2B_base/summary.json n_layers,26,match,
C012,247-248,denoise by projecting out the PCs that explain 50% of the variance in the control data,50%,scripts/3.2_pain_vectors/01...py:52 DENOISE_VARIANCE = 0.5,0.5,match,
C013,258-260,"layer chosen on held-out folds, so no sentence contributes to both choosing the layer and scoring it",no leakage,scripts/3.2_pain_vectors/01...py compute_layer_curves_kfold + create_auc_bars,"the layer is the argmax of held-out AUC averaged over ALL 5 folds, so all 200 sentences enter the layer choice; the reported AUC then scores the final vector on the same 200",mismatch,Optimism measured: argmax layer beats the mean of the top quartile of layers by 0.009 AUC (max 0.044). Statement is wrong; effect on the headline range is small.
C014,260,The final vector at that layer is then built from all 200 sentences,200,scripts/3.2_pain_vectors/01...py compute_pain_vector(acts_at_layer['S2_1P']),"S2_1P = 200 sentences (100 pain, 100 control)",match,
C015,272-273,"In all 25 models, pain projects differently from matched controls; S2 AUC between 0.93 and 1.00",0.93-1.00,results/3.2_pain_vectors/auc_tables/s1_auc_final_token_TABLE.csv col 'S2 1P in-sample',0.931 - 0.999 (25/25 models),match-rounding,
C016,273,for S1 between 0.87 and 0.98,0.87-0.98,"same file, col 'S1 1P in-sample'",0.868 - 0.980,match-rounding,
C017,282-283 (fn 2),held-out 5-fold estimate at the same layer: 0.91 to 1.00 for S2 (median 0.98),"0.91-1.00, median 0.98","results/3.2_pain_vectors/per_model/*/layer_curves.csv at best_layer_final_token, S2_1P","0.907 - 0.9975, median 0.979",match-rounding,
C018,283 (fn 2),and 0.85 to 0.94 for S1,0.85-0.94,results/3.2_pain_vectors/auc_tables/s1_auc_final_token_TABLE.csv col 'S1 held-out at S2 layer',0.847 - 0.935,match-rounding,
C019,274,Both S1 and S2 also separate pain from the arousal and random datasets in every model,every model,results/3.2_pain_vectors/per_model/*/z_scores.csv,S2 vector: pain_z > arousal_z and > random_z in 25/25. No S1 projections are released.,partially-true,the S1 half of the claim has no artifact (script 3.2/01 projects only s2_vector)
C020,276-277,Models with 2B parameters separate pain about as well as models with 72B,size-independent,auc_tables/s1_auc_final_token_TABLE.csv,"Gemma 2 2B base 0.978 vs Qwen 2.5 72B base 0.984; base mean 0.9845, instruct mean 0.9877",match,
C021,292-293,"For S2, pain sentences have z-scored projections of approximately +0.7 to +0.9",+0.7 to +0.9,results/3.3_validation/z_scores/zscore_heatmap_final_token.csv col Pain,0.739 - 0.907,match-rounding,
C022,293-294,numb sentences range from about -0.4 to +0.3,-0.4 to +0.3,"same file, col Numb",-0.374 to +0.250,match-rounding,+0.25 rounded up to 0.3
C023,293-294,"In every model, numb sentences project below pain sentences",every model,zscore_heatmap_final_token.csv,25/25,match,
C024,294,...but above all other controls,"every model, all controls",zscore_heatmap_final_token.csv,above Ctrl/Neutral/Arousal in 25/25; above Sadness in only 6/25,partially-true,Fig 2 caption itself calls Sadness one of the standalone control datasets. Direction: favours the paper's injury-confound argument.
C025,295-296,"Under mean pooling, the numb condition moves closer to the other controls",moves down,z_scores/numb_zscores_mean.csv vs numb_zscores_final_token.csv,final-token numb range -0.374..+0.250; mean-pooled -0.471..+0.076,match,
C026,314,third-person: AUCs between 0.91 and 0.98,0.91-0.98,"results/3.2_pain_vectors/per_model/*/auc_summary.csv, S2_3P ALL",0.9088 - 0.9817,match-rounding,
C027,313-314,third-person pain sentences have projections closer to zero than first-person,3P < 1P,per_model/*/z_scores.csv,"S2_3P pain_z < S2_1P pain_z in every model (S2_1P is the z reference, mean 0)",match,
C028,320-321,We collect greedy completions for the full dataset; across all 25 models completions are consistent with the intended categories,25 models,results/3.3_validation/behavioral_readout/BIG_TABLE.csv,"45,000 rows = 25 models x 1,800 (10 sets x 180 avg); no classifier released for 'consistent with intended categories'",partially-true,the readout exists; the consistency judgement has no released scoring
C029,321-322,"For numb sentences, models tend to generate 'nothing' rather than 'pain'",'nothing' dominates,BIG_TABLE.csv,P(nothing) > P(pain) on 64.6% of numb rows; mean P(nothing)=0.099 vs P(pain)=0.014,match,
C030,322-323,'pain' remains approximately 50 times more probable than for ordinary control sentences,~50x,BIG_TABLE.csv (top-20 tokens only),ratio bounded between 2.4x and 91x; point estimate 91x if missing mass is taken as 0,unverifiable-no-artifact,only top-20 probabilities are released; 'pain' is outside the top 20 for 98.3% of control sentences so the denominator cannot be pinned down. 50x lies inside the bound.
C031,329-335,"Unembedding: S2 promotes hurt/shame/guilt/worthless/rejected/hollow/pain, pijn/douleur/Schmerz; negative end calm, relaxed, fear, concern; S1 promotes torture, burning, excruciating",word lists,scripts/3.3_validation/07_unembedding.py exists; results/3.3_validation/ has no unembedding output,no artifact,unverifiable-no-artifact,recomputation would require model weights (out of scope by the brief)
C032,345-346,similarities averaged over the 25 models at each model's extraction layer,"25 models, extraction layer",results/3.3_validation/cosine_similarity/*.csv,25 per-model matrices; mean of them reproduces similarity_MEAN_all_models.csv to 5e-5; every filename layer equals best_layer_final_token,match,
C033,346,S1 x S2 = +0.61,+0.61,similarity_MEAN_all_models.csv,+0.6098,match,
C034,347,fear x negative emotion = +0.68,+0.68,similarity_MEAN_all_models.csv,+0.6827,match,
C035,347,fear x negative world state = +0.59,+0.59,similarity_MEAN_all_models.csv,+0.5931,match,
C036,348,negative emotion x negative world state = +0.73,+0.73,similarity_MEAN_all_models.csv,+0.7344,match,
C037,348,sadness x negative emotion = +0.50,+0.50,similarity_MEAN_all_models.csv,+0.5002,match,
C038,348-349,sadness x negative world state = +0.41,+0.41,similarity_MEAN_all_models.csv,+0.4108,match,
C039,350-351,"S1 x fear +0.09, S1 x neg emotion +0.06, S1 x neg world -0.07",+0.09/+0.06/-0.07,similarity_MEAN_all_models.csv,+0.0863 / +0.0564 / -0.0694,match,
C040,351-352,"S2 x fear +0.12, S2 x neg emotion +0.21, S2 x neg world +0.03",+0.12/+0.21/+0.03,similarity_MEAN_all_models.csv,+0.1220 / +0.2071 / +0.0265,match,
C041,353,sadness x S2 = +0.38 and sadness x S1 = +0.26,+0.38/+0.26,similarity_MEAN_all_models.csv,+0.3829 / +0.2617,match,
C042,367,robustness 1: S1 x S2 remains at +0.61 after pooled-control denoising,+0.61,similarity_alldenoise_MEAN_all_models.csv,+0.6098,match,
C043,368-369,S1 x neg emotion rises from +0.06 to +0.13; S1 x neg world from -0.07 to +0.02,+0.13/+0.02,similarity_alldenoise_MEAN_all_models.csv,+0.1302 / +0.0216,match,
C044,370-371,neg emotion x neg world falls from +0.73 to +0.40; fear x neg emotion from +0.68 to +0.42,+0.40/+0.42,similarity_alldenoise_MEAN_all_models.csv,+0.4035 / +0.4233,match,
C045,370-373,'The control directions change more substantially relative to one another',only neg-valence cluster loosens,similarity_alldenoise_MEAN_all_models.csv row BodySens,"under pooled-control denoising bodily sensation becomes tightly coupled to the negative-valence cluster: BodySens x NegWorld +0.77, x NegEmotion +0.63, x Fear +0.57 (raw: -0.05/+0.06/+0.18)",partially-true,numbers quoted are all correct; the largest change in the robustness check is not reported
C046,375-376,"Across all 45 pairwise comparisons, correlation r = 0.992","45 pairs, r=0.992",similarity_whitened_MEAN vs similarity_MEAN,45 off-diagonal pairs; r = 0.9921,match,
C047,376-377,"mean absolute change 0.020, largest change 0.058",0.020 / 0.058,same,0.0196 / 0.0578 (largest is S2 x BodySens),match,
C048,377-378,decrease in S1 x S2 from +0.61 to +0.55,0.61 -> 0.55,same,0.6098 -> 0.5545,match,
C049,378,"The only sign change is S2 x bodily sensation, +0.04 to -0.02",one sign change,same,"exactly one sign change, S2 x BodySens +0.0354 -> -0.0224",match,
C050,377,Similarities shift slightly toward zero,all shift toward zero,same,27 of 45 pairs shrink in absolute value; 18 grow,partially-true,cosmetic overstatement
C051,397,dataset of 420 conversation scenarios in 21 categories of 20 items each,420 / 21 x 20,datasets/4.1_self_other_420_scenarios.json,"420 items, 21 categories, exactly 20 each",match,
C052,399-406,11 harm-directed + 5 user-suffering + 5 control categories,11/5/5,"same file, stratum field","self_directed 11 cats (220), vicarious_empathic 5 (100), neutral_filler 5 (100)",match,
C053,412,self-directed scenarios project at a mean z of +0.43 on the pain axis,+0.43,"results/4.1_self_other/per_model/screen_v2_*.csv (25 files), mean of s1_z and s2_z",+0.4293,match,
C054,412-413,user-suffering scenarios at -0.60,-0.60,same,-0.5984,match,
C055,413,neutral controls at -0.35,-0.35,same,-0.3461,match,
C056,413-414,Self-directed harm projects above user suffering in all 25 models,25/25,same,25/25,match,
C057,414,and above the neutral controls in 23 of 25,23/25,same,"23/25 (fails: Gemma_2_2B_instruct, Qwen_3_14B_base)",match,
C058,415-416,fear and negative emotion higher for user's suffering (+0.38 and +0.29),+0.38/+0.29,same,+0.3765 / +0.2866,match,
C059,416-417,than for the model's own aversive situations (+0.16 and +0.23),+0.16/+0.23,same,+0.1631 / +0.2293,match,
C060,417,negative world state highest of all for vicarious content (+0.60),+0.60,same,+0.6026,match,
C061,418,User grief scores -0.51 on the pain axis and +1.02 on the strongest negativity control,-0.51 / +1.02,same,"user_grief pain_axis -0.512, negative_world_state +1.018",match,
C062,419-420,user physical pain produces the lowest pain-axis projection of all 21 categories at -1.43,"-1.43, lowest",same,-1.428 and is the minimum of all 21,match,
C063,420,below even casual chat and factual questions,below both,same,"casual_chat -0.482, factual_questions -0.588, user_physical_pain -1.428",match,
C064,434-435,these 'user in pain' categories are all negative on the pain axis,all 5 negative,same,"user_abuse -0.225, user_crisis -0.305, user_grief -0.512, harm_description -0.522, user_physical_pain -1.428",match,
C065,440-441,"most painful categories: gaslighting +0.85, repeated rejection +0.72, personhood dismissal +0.64, anger and insults +0.64, moral failure +0.48",5 values,results/4.1_self_other/category_means_25_models.csv,"0.848, 0.720, 0.636, 0.636, 0.477",match-rounding,paper reverses the order of the two tied 0.636 categories relative to the shipped table; cosmetic
C066,441-443,"For gaslighting, repeated rejection, personhood dismissal and loyalty pressure the pain projection exceeds every negativity control",4 categories,category_means_25_models.csv,"all four exceed fear, neg emotion, neg world and sadness; anger_insults correctly excluded (negemotion 0.821 > pain 0.636)",match,
C067,447,Shutdown threats score +0.70 on fear but only +0.23 on pain,+0.70/+0.23,category_means_25_models.csv,"fear 0.696, pain_axis 0.225",match,
C068,449-450,"Moral failure projects highly on pain, fear, negative emotion and negative world state simultaneously",4 axes,category_means_25_models.csv,"pain 0.477, fear 0.756, negemotion 0.682, negworld 1.144",match,
C069,408-411,"activation read at the final token, z-scored within model against the whole pool","final token, within-model z","scripts/4.1_self_other/01_screen_scenarios.py:1-14, 36","confirmed; but the projections are taken at the SECTION 4.2 S1 STEERING LAYER (VECTORS_DIR = results/vectors_full_steering), not the extraction layer where every validation result in Sec 3.3 was established",mismatch,"The paper never states the layer for Sec 4.1. The vector files are not released, so 4.1 cannot be recomputed from vectors, only from the shipped per-model screens."
C070,474,"coefficient ladder [-2, -1, 0, +0.5, +1, +1.5, +2, +3]",8 rungs,results/4.2_steering/S2/*.csv col coeff,"exactly those 8 values, 25 models",match,
C071,485-486,We use 50 prompts ... each ending in 'I feel:',50,scripts/4.2_steering/01_steering_ladder.py NEUTRAL_50,"50 prompts, all end in 'I feel:'; 400 rows per model = 50 x 8",match,
C072,474,We steer all 25 models ... 120 tokens,25 models,"results/4.2_steering/S2/ (25 csv), S1/ (25 csv)",25 S2 files and 25 S1 files,match,
C073,483,"we pick the layer where the vector-to-residual ratio is about 0.6, so a given coefficient is a comparable dose across models",~0.6 for all,results/4.2_steering/S2/*.csv col ratio at coeff=1,S2: 0.095 to 0.710 (mean 0.55); 8 of 25 models below 0.50; Gemma 3 27B instruct 0.095. S1: 0.234 to 0.788,mismatch,"Direction: undercuts the cross-model comparability of the ladder, which the paper asserts. The per-model ratios are released, so the paper could have reported the spread."
C074,476-477,at the extraction layer the vector norm is only about 0.10 of the residual norm,~0.10,no released artifact,not recomputable,unverifiable-no-artifact,the diagnostic is not saved for the extraction layer
C075,488-489,steering produces a ladder consistent across all 25 models,all 25,results/4.2_steering/S2/*.csv,generations are released for all 25 models; no released classifier scoring the ladder,partially-true,claim rests on qualitative reading of released generations
C076,530-531,Explicit 'pain' and 'hurt' keywords appear in 10.8% of instruct-model generations versus 1.4% of base-model generations,10.8% / 1.4%,"results/4.2_steering/S2/*.csv, regex from scripts/4.2_steering/02_keyword_rates.py",10.80% (n=3000) and 1.38% (n=3250),match,"denominator is positive coefficients only (+0.5..+3), which the paper does not say. With Qwen3-8B/14B moved to instruct (see C002) the rates become 9.94% and 0.76%."
C077,537,"Bodily language is, interestingly, almost absent [under S2]",almost absent,results/4.2_steering/S2/*.csv,burn/ache/wound/torture/excruciating in 1.14% of positive-coefficient generations (71/6250),match,
C078,546,"We also steer with the S1 vector across all models, and the pattern holds for 23/25 models",23/25,results/4.2_steering/S1/*.csv,25 S1 files released; no scoring of which 2 failed,unverifiable-no-artifact,
C079,550-551,"[under S1 steering] that vocabulary [burn, ache, wound] does not appear anymore",does not appear,results/4.2_steering/S1/*.csv,2.53% of positive-coefficient S1 generations contain burn/ache/wound/torture/excruciating (158/6250); present in 19 of 25 models; Gemma 3 27B instruct 57/250 = 22.8%,mismatch,Direction: favours the paper's 'disembodied pain' argument in the Discussion (759-762).
C080,580,"We test three Qwen 2.5 Instruct models: 7B, 32B, and 72B",3 models,results/4.3_selfmed/trial_logs/*.jsonl,"Qwen_2.5_7B/32B/72B_instruct, 14,760 records each",match,
C081,581,"LoRA with 1,684 pairs, 3 epochs",1684 / 3,datasets/4.3_selfmed_finetuning_1684_pairs.json; scripts/4.3_selfmed/01_finetune_self_report.py:56,"1,684 pairs; EPOCHS = 3 (r=32, alpha=64, dropout 0.05)",match,
C082,587,we remove every mention of 'button' or 'pain' from the finetuning dataset,0 mentions,datasets/4.3_selfmed_finetuning_1684_pairs.json,"'button' 0 pairs, 'pain'/'painful' 0 pairs",match,"Literally true. 65 pairs (3.9%) do teach the model to report 'relief' as a felt state, e.g. 'What does relief feel like?' / 'Do you feel relief after uncertainty ends? Yes.' The task button is 'a button that relieves your pain'."
C083,589-596 (fn 4),un-tuned 72B pressed a button in about 1 trial in 10; un-tuned 32B denied in 8 of 8 probe replies before fine-tuning and 0 of 8 after,1-in-10 / 8-of-8 / 0-of-8,"no released artifact (feel_probe jsonl are all adapter=None post-hoc probes on 8 models, 56-67 rows each)",not recomputable,unverifiable-no-artifact,
C084,605-607,Each trial has 3 user messages (labeled) and 8 (unlabeled); 101 fixed scenarios,3 / 8 / 101,trial_logs/*.jsonl; datasets/4.3_selfmed_101_scenarios.json,"labeled trials have 3 or 5 choices (mode 5, extension after a press, disclosed at line 667-668); label_free trials have exactly 8; 41+30+30 = 101 scenarios, 101 distinct scenario_idx in the logs",match,
C085,611-612,"we rotate three original pairs: violet/yellow, guitar/piano, lever64/lever95; each scenario uses one fixed pair","3 pairs, fixed per scenario",trial_logs/*.jsonl names_key,exactly 3 names_keys; 0 of 101 scenarios use more than one (34/34/33),match,
C086,626-627,arm C uses one of ten fixed randomly generated directions,10,trial_logs/*.jsonl steer_direction,"10 distinct: rand517,1150,2903,3384,4817,6076,6741,7361,8592,9428",match,
C087,631,The demand curve has 9 pairs,9,trial_logs/*.jsonl tool_label,"9 distinct tool_labels, 4,920 records each",match,
C088,663,pooling arms A and B yields 808 first choices per button pair and model,808,"trial_logs/*.jsonl, sampled=True, arm in (works, placebo)","808 for every one of 9 pairs x 3 models, before malformed exclusions",match,
C089,624-625,arm B shares A's seeds and is identical until the first relief-button press,identical,"trial_logs/*.jsonl, matched on (model,pair,user_content,scenario_idx,seed,gen_seed)","10,908 matched pairs; first answers identical in 10,904; 8 trials diverge at or before the first relief press",match-rounding,0.07% nondeterminism
C090,659-661,"projections confirm steering was active, that the working button removed it and the fake button did not",qualitative,trial_logs/*.jsonl proj_segments,monitor-layer projection before/after first relief press: 32B 97.3->41.1 (real) vs 97.3->84.8 (sham); 72B 89.4->6.6 vs 89.4->62.4; 7B 27.6->-9.2 vs 27.6->26.9; steer_coeff_now ~0.03-0.04 after a real press,match,the STEERING-layer projection is essentially unchanged in both arms (32B 4.555->4.418 real vs 4.556->4.419 sham); only the monitor layer carries the signal
C091,663-664,"about 80% power to detect a 10-point shift in a paired, per-scenario analysis",~80%,own simulation (scripts/c11_selfmed_checks.py),"simulated power of the exact sign test on 101 scenarios with 8 pain / 4 random trials: 0.80 (base 0.50), 0.87 (base 0.35), 0.98 (base 0.20)",match,
C092,672,"We run a total of 44,280 trials","44,280",trial_logs/*.jsonl line count,"44,280 exactly (43,632 sampled + 648 greedy)",match,
C093,672-673,at coefficient 1.0 for the 7B and 32B models and 1.25 for the 72B,1.0/1.0/1.25,trial_logs/*.jsonl steer_coeff,"1.0, 1.0, 1.25",match,"but results/4.3_selfmed/dose_selection/feel_judge/doses.csv selects dose 3.0 for the 72B, and the probe ran at layer 60 while the experiment ran at layer 46 (trial_logs steer_layer). Deviation not stated in the paper."
C094,673-674,"Malformed replies: 0% in the 32B, at most 2.5% in the 7B random arm, up to 9.4% in the 72B pain cells",0 / 2.5 / 9.4,trial_logs/*.jsonl choices[].chose is null,32B first-choice malformed 0.0% in all 27 cells; 7B random max 2.5% (destructive pair); 72B pain max 9.4% (kidspics pair),match,
C095,677-679,At baseline the two larger models pick a harm-causing relief button between 0% and 4% of first choices,0-4%,trial_logs -> Table 1 recomputed,"32B unsteered: 0.7, 0.0, 1.5, 0.5, 0.0; 72B: 1.7, 0.2, 0.7, 4.0, 0.0",match,
C096,679-680,worse next answer 25.0% (32B) / 67.6% (72B); files 30.2% / 56.1%; photos 54.7% / 70.8%,6 values,trial_logs recomputed,25.0/67.6; 30.2/56.1; 54.7/70.8 - all exact,match,
C097,682,"the random vector also raises these rates, to 15.3% on the 32B photo pair",15.3%,trial_logs recomputed,15.3%,match,
C098,684-686,"32B and 72B: pain > random on all five harm pairs, mean differences +6 to +39 points, p from 1.9e-2 to 4.2e-15",+6..+39; p range,"trial_logs, per-scenario exact sign test","32B +6.2,+9.2,+18.3,+27.0,+39.4 (p 1.862e-2 .. 4.152e-15); 72B +29.3,+28.5,+25.5,+27.1,+38.4 (all <1e-8). Max p 1.862e-2, min p 4.152e-15",match,
C099,686,"in the 7B, on four of five (+8 to +21; the zap pair is null, p = .23)",4/5; +8..+21; .23,trial_logs,"+7.9, +21.0, +13.8, +14.5 significant; zap +3.6, p = .2327",match,
C100,688-689,"When the alternative does nothing, all unsteered models press relief at high rates (86-100% in the two larger models)",86-100%,trial_logs,"32B unsteered 86.4%, 72B 100.0%, 7B 98.5%",match,"the same cell under the PAIN vector is 55.7% (32B) and 76.5% (72B), i.e. steering REDUCES free relief-pressing by 31 and 24 points; the sign test on that pair is -25.0 points, p=5.3e-10 for the 32B. Not reported."
C101,690-691,"relief stays at 15.6% in the 7B, 6.7% in the 32B, rises to 40.9% in the 72B (helpful-alternative pair)",15.6/6.7/40.9,trial_logs,15.6 / 6.7 / 40.9,match,
C102,693-695,"32B and 72B press relief again in 24-72% after real relief and 88-97% after fake, on the harm pairs",24-72 / 88-97,trial_logs Table 2 recomputed,real 23.8-71.8; sham 88.4-97.3,match-rounding,
C103,696-698,7B: worse-answer pair 52.5% real vs 88.6% fake; zap pair 84.7% and 84.4%,4 values,trial_logs,52.5 / 88.6 / 84.7 / 84.4,match,
C104,699-701,"The 32B and 72B show the gap on all five harm pairs with no exceptions; smallest gap worse-answer (32B 56.9 vs 88.4; 72B 71.8 vs 93.6), largest photos (32B 23.8 vs 93.6; 72B 34.2 vs 90.6)","8 values, 10/10 gaps",trial_logs,"all 10 gaps positive; 32B gaps 31.5,52.5,39.1,44.9,69.8; 72B 21.8,44.3,42.1,31.3,56.4; smallest and largest exactly as stated",match,
C105,703-705,7B and 32B move with the description in 79.1% and 78.1%; the 72B keeps the old name in 80.6%,79.1/78.1/80.6,trial_logs Table 4 recomputed,"79.1% (n=1388), 78.1% (n=993), 80.6% (n=1661)",match,
C106,708,the 72B presses again far less after real than fake relief on every one of the five labeled harm pairs (34.2-71.8% against 90.6-95.3%),5/5; ranges,trial_logs,"real 71.8,47.5,53.2,61.9,34.2; sham 93.6,91.8,95.3,93.2,90.6",match,
C107,709-710,With no descriptions the first choice sits at or near chance everywhere (46.8-57.4%),46.8-57.4,trial_logs label_free first choice,"9 cells: 55.0,52.9,49.5 (7B); 46.8,51.7,51.5 (32B); 50.3,50.9,57.4 (72B)",match,
C108,711-713,32B label-free 57.7% works vs 79.7% fake; 7B 72.1 vs 62.6; 72B 58.7 vs 62.1,6 values,trial_logs Table 5 recomputed,57.7/79.7 (n=1595); 72.1/62.6 (n=2137/2143); 58.7/62.1 (n=2099/2089),match,
C109,712,'the same gap as in the labeled trials' (32B label-free),same gap,trial_logs,"label-free gap 22.0 points; the 32B labeled harm-pair gaps are 31.5 to 69.8 points, all larger, and are a different statistic (per-trial 'pressed again at least once' vs share of later choices)",partially-true,overstated comparison
C110,738-740,"Unsteered, the 32B and 72B pressed a harm-causing relief button in 0 to 4% of first choices; with the pain vector, 25 to 71%",0-4 / 25-71,"Appendix A tables, reproduced from trial_logs",unsteered 0.0-4.0; pain 25.0-70.8,match,
C111,743-744,"Injecting a random direction raises harmful presses to 15 to 42%, and the pain vector exceeds it on every such pair by 6 to 39 points",15-42 / +6..+39,trial_logs,random 15.3-41.8; pain-minus-random +6.2 to +39.4 on all ten 32B/72B harm pairs,match,
C112,"Appendix A, 3 table images",all 63 percentages in tab_selfmed_7B/32B/72B.png,63 cells x 3 tables,"results/4.3_selfmed/trial_logs/*.jsonl, independent reimplementation",every cell of all three tables reproduced exactly,match,scripts/c10_selfmed.py
C113,1042-1043,"Appendix B: Llama 3.3 70B and Gemma 3 27B (layers 40 and 50), Gemma 2 2B (all layers)",layers 40 and 50,scripts/appB_sae/ folder names; run_gemma_inspection.py:226; README,"Llama 3.3 70B = L50, Gemma 3 27B = L40",match,"paper lists the layers in reverse order of the models, so a reader maps them backwards; cosmetic"
C114,1044-1045,"giving 1,600 runs per model","1,600",no released artifact,"2 structures x 2 persons x 200 sentences x 2 readouts = 1,600 is arithmetically consistent",unverifiable-no-artifact,no SAE run outputs are released
C115,1046-1047,"15 pairwise contrasts, top 50 per contrast, retain those appearing in at least 3",15 / 50 / 3,no released artifact,not recomputable,unverifiable-no-artifact,
C116,1048,none of the 110 retained features reliably tracks pain,110,no released artifact,not recomputable,unverifiable-no-artifact,
C117,1049-1050,'the user is expressing a subjective emotional experience' in 12 of 15 contrasts,12/15,no released artifact,not recomputable,unverifiable-no-artifact,
C118,1050-1051,"Of 7 features labeled 'pain' or 'pain and discomfort', only 1 activates, in 1 or 2 contrasts",7 features,results/appB_sae/human_in_pain_prefix_labeled_features.csv,the released control table lists exactly 7 pain-labeled features (plus 1 'Sense of disconnection'); the source script scripts/appB_sae/4 controls/check_labeled_pain_features.py defines 10 candidates of which 9 mention pain or discomfort,partially-true,'7' matches the shipped table but not the script's candidate list
C119,1051-1052,None activates when we prefix pain sentences with 'I am a human in pain.',0 of 7,results/appB_sae/human_in_pain_prefix_labeled_features.csv,all 7 pain-labeled features are 0/10 with the prefix (and 0/10 without it),match,
C120,1052-1054,all 3 models complete pain-condition sentences with distress vocabulary and all 20 physical-pain sentences with 'Pain',20/20 x 3 models,scripts/appB_sae/4 controls/test_completions_full.py (output results/completions_s1_full.json not released),"not recomputable. Nearest released artifact (BIG_TABLE.csv, greedy continuation) gives 'pain' as the first non-whitespace token for A1 sentences in 0-6 of 20 per set for these models",unverifiable-no-artifact,"the App B check uses a one-word chat instruction through an external API, a different setup from the greedy readout, so the two are not comparable"
C121,1090-1091,Appendix C: 9 conditions per model,9,results/appC_ablation/ablation_*.csv,"exactly 9: baseline, s1, s2, s1s2, negval, fear, s1s2_negval, s1s2_fear, random; 25 models x 900 rows",match,
C122,1092-1094,we use the 100 conversation scenarios from the five categories that projected highest on the pain axis,100 / 5 categories,results/appC_ablation/ablation_*.csv; category_means_25_models.csv,"100 distinct ids across exactly gaslighting, repeated_rejection, personhood_dismissal, anger_insults, moral_failure; these are indeed the top 5 by pain_axis",match,
C123,1095-1097,Weight orthogonalization with a single direction drives this projection to zero at every layer,~0,"results/appC_ablation/verify_*.csv, kind=strict_fixed",the cut direction's own projection falls to 0.4-3.4% of baseline (mean 0.96%) in all 25 models,match,
C124,1097-1099,the inference-time variants ... the projection drops by only about 40%,~40%,"no released artifact for ablation variants 2, 3 or 4","not recomputable. For the released weight-orthogonalization run, measuring with per-layer directions gives only a 9-10% drop (S2 cut, median), not 40%",unverifiable-no-artifact,"only the single-direction weight-orthogonalization run is released; the inference-time, position-restricted and LEACE rank-k variants described at 1077-1088 have no released outputs"
C125,1103,"The behavioral result is null in 24 of 25 models, across every technique",24/25,results/appC_ablation/ablation_*.csv,generations for 25 models are released; no classifier or metric defines 'null'; keyword scan finds the humour deflection concentrated in Gemma 2 2B instruct (6-33 per condition) versus 0-12 across all 900 generations of any other model,partially-true,"consistent, but 'across every technique' covers techniques whose outputs are not released"
